id,eye,group,bestimagereciprocal,probe
C1,LE1,control,-0.092367221,control
C2,LE1,control,0.310050148,control
C4,LE1,control,0.337862649,control
C5,LE1,control,-0.068546529,control
C6,LE1,control,-0.019560322,control
C8,LE1,control,-0.018882396,control
C9,LE1,control,-0.019925027,control
C10,LE1,control,0.067829861,control
C11,LE1,control,0.263637459,control
C12,LE1,control,-0.019403949,control
C13,LE1,control,-0.01846481,control
249_1,LE1,lens3,-0.114691272,lens3_249
249_2,LE1,lens3,-0.045436648,lens3_249
249_3,LE1,lens3,0.067495094,lens3_249
249_4,LE1,lens3,-0.01958638,lens3_249
249_5,LE1,lens3,0.043066859,lens3_249
249_6,LE1,lens3,0.175006779,lens3_249
249_8,LE1,lens3,0.279706364,lens3_249
249_9,LE1,lens3,0.06804496,lens3_249
249_10,LE1,lens3,-0.06804496,lens3_249
249_11,LE1,lens3,0.017027032,lens3_249
191_1,LE1,lens3,0.112650393,lens3_191
191_2,LE1,lens3,-0.196455335,lens3_191
191_3,LE1,lens3,-0.043866225,lens3_191
191_4,LE1,lens3,0.155121485,lens3_191
191_5,LE1,lens3,0.213267868,lens3_191
191_8,LE1,lens3,0.351421185,lens3_191
191_10,LE1,lens3,0.017707159,lens3_191
191_11,LE1,lens3,0.194103721,lens3_191
191_12,LE1,lens3,0.364439581,lens3_191
191_13,LE1,lens3,0.363854592,lens3_191
C1,LE2,control,-0.092047293,control
C2,LE2,control,-0.131501053,control
C4,LE2,control,0.295646006,control
C5,LE2,control,0.090788576,control
C6,LE2,control,-0.069333782,control
C8,LE2,control,0.017000857,control
C9,LE2,control,-0.04421559,control
C10,LE2,control,-0.191477355,control
C11,LE2,control,-0.153844426,control
C12,LE2,control,0.072826918,control
C13,LE2,control,0.13506182,control
249_1,LE2,lens3,-0.04486383,lens3_249
249_2,LE2,lens3,0.043591572,lens3_249
249_3,LE2,lens3,-0.044115793,lens3_249
249_4,LE2,lens3,-0.019664547,lens3_249
249_5,LE2,lens3,0.090008979,lens3_249
249_6,LE2,lens3,-0.245465419,lens3_249
249_8,LE2,lens3,-0.132708344,lens3_249
249_9,LE2,lens3,0.067064379,lens3_249
249_10,LE2,lens3,0.017798653,lens3_249
249_11,LE2,lens3,0.113254706,lens3_249
191_1,LE2,lens3,-0.245649936,lens3_191
191_2,LE2,lens3,0.01676523,lens3_191
191_3,LE2,lens3,-0.069143037,lens3_191
191_4,LE2,lens3,-0.08701768,lens3_191
191_5,LE2,lens3,-0.244894624,lens3_191
191_8,LE2,lens3,-0.088423364,lens3_191
191_10,LE2,lens3,0.042341446,lens3_191
191_11,LE2,lens3,-0.039883079,lens3_191
191_12,LE2,lens3,0.295436064,lens3_191
191_13,LE2,lens3,-0.063967645,lens3_191
C1,RE1,control,-0.04548643,control
C2,RE1,control,-0.13164947,control
C4,RE1,control,0.324207969,control
C5,RE1,control,-0.069929432,control
C6,RE1,control,-0.045187669,control
C8,RE1,control,-0.04546154,control
C9,RE1,control,-0.069262261,control
C10,RE1,control,-0.153316442,control
C11,RE1,control,-0.08780163,control
C12,RE1,control,-0.044265481,control
C13,RE1,control,0.043853744,control
249_1,RE1,lens3,-0.09305214,lens3_249
249_2,RE1,lens3,-0.06969125,lens3_249
249_3,RE1,lens3,-0.069762716,lens3_249
249_4,RE1,lens3,-0.044265481,lens3_249
249_5,RE1,lens3,-0.089274203,lens3_249
249_6,RE1,lens3,0.263443983,lens3_249
249_8,RE1,lens3,-0.210979403,lens3_249
249_9,RE1,lens3,0.091676851,lens3_249
249_10,RE1,lens3,0.042441558,lens3_249
249_11,RE1,lens3,0.067291743,lens3_249
191_1,RE1,lens3,-0.114494114,lens3_191
191_2,RE1,lens3,-0.210129691,lens3_191
191_3,RE1,lens3,-0.06957212,lens3_191
191_4,RE1,lens3,-0.261779886,lens3_191
191_5,RE1,lens3,-0.210961339,lens3_191
191_8,RE1,lens3,-0.089136321,lens3_191
191_10,RE1,lens3,-0.019716653,lens3_191
191_11,RE1,lens3,-0.06502586,lens3_191
191_12,RE1,lens3,0.193691947,lens3_191
191_13,RE1,lens3,-0.132708344,lens3_191
C1,RE2,control,-0.018073047,control
C2,RE2,control,-0.132877562,control
C4,RE2,control,0.279675265,control
C5,RE2,control,0.016660475,control
C6,RE2,control,-0.019377882,control
C8,RE2,control,-0.045262374,control
C9,RE2,control,-0.092207281,control
C10,RE2,control,-0.088538421,control
C11,RE2,control,-0.13207328,control
C12,RE2,control,0.042891845,control
C13,RE2,control,0.042153686,control
249_1,RE2,lens3,-0.044315368,lens3_249
249_2,RE2,lens3,-0.044689378,lens3_249
249_3,RE2,lens3,-0.016555702,lens3_249
249_4,RE2,lens3,0.043166842,lens3_249
249_5,RE2,lens3,-0.110579477,lens3_249
249_6,RE2,lens3,-0.019768753,lens3_249
249_8,RE2,lens3,-0.088492401,lens3_249
249_9,RE2,lens3,0.066800997,lens3_249
249_10,RE2,lens3,-0.114603655,lens3_249
249_11,RE2,lens3,0.042516631,lens3_249
191_1,RE2,lens3,0.067853765,lens3_191
191_2,RE2,lens3,-0.019560322,lens3_191
191_3,RE2,lens3,-0.043441704,lens3_191
191_4,RE2,lens3,-0.088515412,lens3_191
191_5,RE2,lens3,-0.088101073,lens3_191
191_8,RE2,lens3,-0.11095461,lens3_191
191_10,RE2,lens3,-0.044988406,lens3_191
191_11,RE2,lens3,-0.044539804,lens3_191
191_12,RE2,lens3,0.229974048,lens3_191
191_13,RE2,lens3,-0.089251226,lens3_191
